id,name,address,picture url,ig_location,beauty,art,architecture,vista,nature,open space,daytime,night,explore
202,SFHeart-Be Inspired,"160 Pine St, San Francisco, CA 94111",https://c1.staticflickr.com/9/8527/8520511794_db11bf7982_n.jpg,,,,,,,,,,
203,SFHeart-,,,,,,,,,,,,
204,SFHeart-,,,,,,,,,,,,
205,SFHeart-,,,,,,,,,,,,
206,SFHeart-,,,,,,,,,,,,
207,SFHeart-,,,,,,,,,,,,
208,SFHeart-,,,,,,,,,,,,
209,SFHeart-,,,,,,,,,,,,
210,SFHeart-,,,,,,,,,,,,
211,SFHeart-,,,,,,,,,,,,
212,SFHeart-,,,,,,,,,,,,
213,SFHeart-,,,,,,,,,,,,
214,SFHeart-,,,,,,,,,,,,
215,SFHeart-,,,,,,,,,,,,
216,SFHeart-,,,,,,,,,,,,
217,SFHeart-,,,,,,,,,,,,
218,SFHeart-,,,,,,,,,,,,
219,SFHeart-,,,,,,,,,,,,
220,SFHeart-,,,,,,,,,,,,
221,SFHeart-,,,,,,,,,,,,
222,SFHeart-,,,,,,,,,,,,
223,SFHeart-,,,,,,,,,,,,
224,SFHeart-,,,,,,,,,,,,
225,SFHeart-,,,,,,,,,,,,
226,SFHeart-,,,,,,,,,,,,
227,,,,,,,,,,,,,
228,,,,,,,,,,,,,
229,,,,,,,,,,,,,
230,,,,,,,,,,,,,
231,,,,,,,,,,,,,
232,,,,,,,,,,,,,
233,,,,,,,,,,,,,
234,,,,,,,,,,,,,
235,,,,,,,,,,,,,
236,,,,,,,,,,,,,
237,,,,,,,,,,,,,
238,,,,,,,,,,,,,
239,,,,,,,,,,,,,
240,,,,,,,,,,,,,
241,,,,,,,,,,,,,
242,,,,,,,,,,,,,
243,,,,,,,,,,,,,
244,,,,,,,,,,,,,
245,,,,,,,,,,,,,
246,,,,,,,,,,,,,
247,,,,,,,,,,,,,
248,,,,,,,,,,,,,
249,,,,,,,,,,,,,
250,,,,,,,,,,,,,
251,,,,,,,,,,,,,
252,,,,,,,,,,,,,
253,,,,,,,,,,,,,
254,,,,,,,,,,,,,
255,,,,,,,,,,,,,
256,,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,,,,,
259,,,,,,,,,,,,,
260,,,,,,,,,,,,,
261,,,,,,,,,,,,,
262,,,,,,,,,,,,,
263,,,,,,,,,,,,,
264,,,,,,,,,,,,,
265,,,,,,,,,,,,,
266,,,,,,,,,,,,,
267,,,,,,,,,,,,,
268,,,,,,,,,,,,,
269,,,,,,,,,,,,,
270,,,,,,,,,,,,,
271,,,,,,,,,,,,,
272,,,,,,,,,,,,,
273,,,,,,,,,,,,,
274,,,,,,,,,,,,,
275,,,,,,,,,,,,,
276,,,,,,,,,,,,,
277,,,,,,,,,,,,,
278,,,,,,,,,,,,,
279,,,,,,,,,,,,,
280,,,,,,,,,,,,,
281,,,,,,,,,,,,,
282,,,,,,,,,,,,,
283,,,,,,,,,,,,,
284,,,,,,,,,,,,,
285,,,,,,,,,,,,,
286,,,,,,,,,,,,,
287,,,,,,,,,,,,,
288,,,,,,,,,,,,,
289,,,,,,,,,,,,,
290,,,,,,,,,,,,,
291,,,,,,,,,,,,,
292,,,,,,,,,,,,,
293,,,,,,,,,,,,,
294,,,,,,,,,,,,,
295,,,,,,,,,,,,,
296,,,,,,,,,,,,,
297,,,,,,,,,,,,,
298,,,,,,,,,,,,,
299,,,,,,,,,,,,,
300,,,,,,,,,,,,,
